N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
21;"¿Cuál es el principal objetivo del proceso ""Dirigir y Gestionar el Trabajo del Proyecto""?";Aprobar entregables;Producir los entregables y dirigir los recursos;Controlar cambios;Estimar costos;B;Es el proceso de ejecución para crear los entregables.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;Saltarse Change Control: Los cambios por ley (Compliance) son obligatorios y prioritarios.
22;Tienes muchos interesados con intereses en conflicto. ¿Qué estrategia es más efectiva?;Dar preferencia al más influyente;Negociar expectativas con un plan de gestión de interesados;Minimizar la participación;Incluir a todos en el comité de dirección;B;Permite alinear expectativas desde el inicio.;Personas;Tarea 3: Apoyar desempeño;Ágil;PMI Mindset: El feedback debe ser constante y constructivo, no solo al final del año.
23;En un proyecto ágil, el cliente agrega elementos al backlog constantemente. ¿Qué debe hacer el Product Owner?;Aceptar todo para mantener al cliente contento;Repriorizar el backlog según valor de negocio;Detener el proyecto hasta congelar el alcance;Negar los cambios;B;La flexibilidad es clave, priorizando valor.;Procesos;Tarea 14: Gestionar gobernanza;Predictivo;PMI Mindset: La gobernanza define quién decide qué. Protege la estructura del proyecto.
24;¿Qué herramienta analiza incertidumbre en el cronograma del proyecto?;Ruta crítica;Diagrama de Gantt;Análisis de Monte Carlo;Histogramas;C;Permite modelar variaciones de duración.;Entorno;Tarea 2: Evaluar beneficios;Predictivo;PMI Mindset: Un proyecto puede ser exitoso en cronograma pero fallar si no entrega los beneficios.
25;En un proyecto predictivo, los entregables intermedios no están siendo aceptados. ¿Qué podría estar fallando?;Reuniones diarias;Validación del alcance;Revisión por pares;Auditoría de calidad;B;Sin validación no hay aceptación formal.;Personas;Tarea 12: Definir reglas del equipo;Ágil;PMI Mindset: El Acta de Equipo (Team Charter) reduce conflictos al fijar valores y normas.
26;El equipo no entiende claramente las prioridades del proyecto. ¿Qué documento debes revisar?;Acta de constitución;EDT;Registro de interesados;Registro de riesgos;A;Define los objetivos y criterios de éxito.;Procesos;Tarea 16: Transferencia de conocimiento;Híbrido;PMI Mindset: No basta con terminar el producto, hay que asegurar que el cliente sepa usarlo.
27;En proyectos ágiles, ¿cuál es el valor principal de la retrospectiva?;Evaluar cumplimiento del contrato;Identificar mejoras en el proceso;Medir velocidad;Controlar el presupuesto;B;Se centra en la mejora continua.;Personas;Tarea 8: Mentoring;Híbrido;PMI Mindset: El PM dedica tiempo a desarrollar a los futuros líderes del equipo.
28;Un entregable es rechazado en la verificación. ¿Qué proceso debes aplicar ahora?;Control de calidad;Validar el alcance;Controlar los recursos;Integración del cambio;A;Permite revisar si se cumplieron los requisitos técnicos.;Procesos;Tarea 2: Gestionar comunicaciones;Predictivo;Orden de acciones: Ante un problema de comunicación, lo primero es evaluar el plan actual.
29;Una actividad tiene una duración esperada de 10 días, pero con una probabilidad de 70% puede tomar 20 días. ¿Qué técnica se aplica?;Estimación análoga;Estimación paramétrica;Estimación PERT;Técnica Delphi;C;Toma en cuenta tres estimaciones para calcular la duración.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: El análisis cualitativo (priorizar) va antes del análisis cuantitativo (dinero/tiempo).
30;¿Cuál es el documento que formaliza la existencia de un proyecto?;EDT;Plan para la dirección del proyecto;Acta de constitución;Registro de interesados;C;Es la autorización formal para iniciar el proyecto.;Entorno;Tarea 3: Evaluar cambios externos;Híbrido;PMI Mindset: El PM debe monitorear el mercado para ajustar el proyecto si la estrategia cambia.
31;En la planificación, el equipo discute cómo cumplir con políticas de seguridad. ¿Qué proceso es?;Identificar riesgos;Planificar la calidad;Planificar gestión de recursos;Planificar cumplimiento;D;Trata sobre requerimientos regulatorios o normativos.;Personas;Tarea 1: Gestionar conflictos;Híbrido;ORDEN DE ACCIONES: Ante un conflicto interpersonal, primero se busca la resolución privada. Escalar es el último recurso.
32;Si el SPI es 1.0 y el CPI es 0.8, ¿qué indica?;Proyecto va en tiempo pero sobrepresupuesto;Proyecto va en tiempo y bajo presupuesto;Proyecto atrasado pero bajo presupuesto;Proyecto con problemas de alcance;A;El tiempo está bien, pero el gasto es mayor al planeado.;Procesos;Tarea 10: Gestionar cambios;Predictivo;SALTARSE CHANGE CONTROL: Si un cambio no aporta valor al negocio o no es aprobado por el CCB, se rechaza formalmente.
33;Tu equipo subcontratado reporta avance incorrecto en entregables. ¿Qué debes hacer?;Cambiar de proveedor;Revisar el plan de adquisiciones y tomar acción correctiva;Terminar contrato;Excluir entregables;B;Debe activarse la respuesta de control contratada.;Procesos;Tarea 3: Gestionar riesgos;Híbrido;"RIESGO vs ISSUE: Un riesgo es ""incertidumbre"" (futuro). Un issue es ""realidad"" (presente). El issue log es para lo que ya pasó."
34;¿Cómo se prioriza en un backlog ágil?;Por orden de llegada;Según opinión del cliente;Según valor del negocio y riesgo;Según duración estimada;C;El valor entregado es el eje principal.;Personas;Tarea 6: Generar entendimiento;Ágil;"PMI MINDSET: Las ""Historias de Usuario"" deben ser pequeñas y estimables por el equipo, no impuestas por el PO."
35;¿Cuál es el mejor indicador de desempeño futuro del proyecto?;Valor ganado;ETC;EAC;VAC;C;Permite proyectar el costo final del proyecto.;Entorno;Tarea 2: Evaluar beneficios;Predictivo;TRICK: El Caso de Negocio (Business Case) justifica la inversión inicial y se revisa si los beneficios siguen siendo válidos.
36;¿Qué significa un VAC negativo?;Ahorro de costos;Se espera exceder el presupuesto;Proyecto en equilibrio;Cambio de alcance;B;Se prevé una desviación negativa en costos.;Procesos;Tarea 13: Metodología;Híbrido;TAILORING: No hay una receta única. Se ajustan los procesos según el tamaño del equipo y la complejidad técnica.
37;¿Qué se utiliza para medir la eficacia de las respuestas a los riesgos?;Plan de gestión de calidad;Registro de incidentes;Auditoría de riesgos;Análisis de causa raíz;C;Se usa para verificar si las respuestas fueron adecuadas.;Personas;Tarea 12: Reglas del equipo;Ágil;"MINDSET: El ""Contrato Social"" o Acta de Equipo define cómo se tratarán los desacuerdos técnicos."
38;En gestión ágil, ¿qué representa el Burndown Chart?;Cronograma;Velocidad del equipo;Trabajo restante;Presupuesto consumido;C;Indica cuánto trabajo queda para terminar el sprint o release.;Procesos;Tarea 4: Presupuesto;Predictivo;"TRICK: La Reserva de Gestión es para ""desconocidos-desconocidos"" y requiere aprobación externa al PM."
39;¿Qué es un impedimento en Scrum?;Un entregable atrasado;Algo que impide al equipo avanzar;Cambios de alcance;Reuniones canceladas;B;Puede ser interno o externo al equipo.;Personas;Tarea 2: Liderar un equipo;Ágil;SERVANT LEADERSHIP: El PM protege al equipo de interrupciones externas durante el Sprint.
40;"¿Cuál es el propósito principal del proceso ""Cerrar el Proyecto o Fase""?";Terminar el contrato;Revisar el presupuesto;Obtener aceptación formal;Entregar productos;C;Se cierra formalmente con aceptación y documentación completa.;Procesos;Tarea 17: Cierre;Predictivo;ORDEN DE ACCIONES: El cierre administrativo incluye la liberación de recursos y la actualización del activo de procesos.
41;¿Qué principio aplica en una situación avanzada relacionada con costos?;Optimización de recursos;Control del valor ganado;Validación del alcance;Aceptación de cambios;B;Es una técnica clave para evaluar el desempeño del costo.;Personas;Tarea 5: Capacitación;Híbrido;PMI MINDSET: La falta de conocimiento es un riesgo. Mitígalo con formación cruzada (Cross-training) entre miembros.
42;En Scrum, ¿cuál es el resultado esperado de una reunión diaria (Daily Scrum)?;Una planificación detallada;Resolver todos los impedimentos;Sincronización y ajustes para cumplir el Sprint Goal;Registrar métricas de desempeño;C;Es un evento de inspección y adaptación diario.;Procesos;Tarea 12: Artefactos;Predictivo;TRICK: El Registro de Supuestos se crea al inicio y se valida constantemente. Un supuesto falso se convierte en riesgo.
43;¿Cuál es la principal ventaja del uso de Monte Carlo en la planificación del cronograma?;Identifica actividades críticas;Reduce los costos;Estima la probabilidad de cumplir fechas;Evita el análisis cualitativo;C;Permite analizar la incertidumbre en la planificación.;Entorno;Tarea 1: Cumplimiento;Híbrido;MINDSET: Si una ley cambia, el proyecto debe adaptarse. El PM es responsable de asegurar que el producto sea legal.
44;Un interesado clave cambia sus requisitos en mitad del proyecto. ¿Qué deberías hacer?;Modificar el alcance inmediatamente;Iniciar control integrado de cambios;Consultar al equipo;Esperar a la siguiente reunión de seguimiento;B;Los cambios deben seguir un proceso formal.;Personas;Tarea 14: Colaboración;Ágil;"TRICK: El uso de ""Tableros de Tareas"" físicos o virtuales aumenta la visibilidad y el compromiso del equipo."
45;¿Qué representa el índice de desempeño del cronograma (SPI)?;La relación entre EV y PV;EV menos AC;La desviación en días del cronograma;EV dividido por AC;A;Mide el progreso real respecto al planificado.;Procesos;Tarea 6: Cronograma;Predictivo;"ORDEN DE ACCIONES: El ""Fast Tracking"" aumenta el riesgo; el ""Crashing"" aumenta el costo. Evalúa antes de elegir."
46;¿Qué tipo de contrato es más adecuado cuando el alcance no está bien definido?;Precio fijo cerrado;Costo reembolsable;Tiempo y materiales con tope;Precio fijo con incentivos;B;Favorece flexibilidad cuando hay incertidumbre.;Personas;Tarea 9: Desempeño;Ágil;MINDSET: La velocidad del equipo es para planificación interna, no para comparar la productividad entre equipos.
47;En una retrospectiva, el equipo identifica fricciones internas. ¿Qué debe hacer el Scrum Master?;Reasignar tareas;Facilitar la comunicación y mediación;Escalar al patrocinador;Modificar el backlog;B;Es parte de su rol como facilitador.;Procesos;Tarea 8: Comunicación;Predictivo;TRICK: Si hay ruido en la comunicación, el PM debe verificar el modelo Emisor-Receptor y el Plan de Gestión.
48;¿Qué documento justifica el proyecto y define beneficios esperados?;Acta de constitución;Business Case;Plan de gestión del alcance;Registro de interesados;B;Detalla los fundamentos y beneficios esperados.;Personas;Tarea 4: Empoderamiento;Ágil;MINDSET: El PM delega la toma de decisiones técnicas al equipo de desarrollo para fomentar la autonomía.
49;¿Qué representa un VAC negativo?;Ahorro en costos;Retraso en la planificación;Exceso en presupuesto proyectado;Riesgo inaceptable;C;Indica que se excederá el presupuesto.;Procesos;Tarea 3: Riesgos;Predictivo;ORDEN DE ACCIONES: Planificar respuesta -> Identificar -> Análisis Cualitativo -> Análisis Cuantitativo -> Respuesta.
50;¿Cuál es la mejor estrategia para lidiar con un riesgo de alto impacto y alta probabilidad?;Transferir;Aceptar;Mitigar;Evitar;D;Si es posible, lo mejor es evitar el riesgo completamente.;Personas;Tarea 11: Virtualidad;Híbrido;"TRICK: En equipos virtuales, usa ""ventanas de disponibilidad"" para fomentar la comunicación espontánea."
51;¿Qué herramienta permite visualizar la relación entre actividades del cronograma?;EDT;Diagrama de Gantt;Matriz de asignación de responsabilidades;Registro de interesados;B;Permite ver la secuencia y dependencias del cronograma.;Entorno;Tarea 4: Cambio org.;Predictivo;MINDSET: El PM debe ser un agente de cambio. La cultura organizacional puede ser el mayor riesgo del proyecto.
52;¿Qué ocurre si el SPI y el CPI son menores que 1?;Proyecto en tiempo y bajo presupuesto;Proyecto atrasado y sobre presupuesto;Proyecto adelantado y dentro del presupuesto;Proyecto completado;B;Valores menores a 1 indican desempeño deficiente.;Procesos;Tarea 10: Cambios;Predictivo;SALTARSE CHANGE CONTROL: Si un cambio es urgente, el PM puede actuar según su nivel de autoridad, pero debe informar al CCB.
53;¿Qué proceso se enfoca en asegurar que solo se implementen los cambios aprobados?;Control de calidad;Control integrado de cambios;Validar el alcance;Controlar riesgos;B;Evita cambios no autorizados al plan.;Personas;Tarea 1: Conflictos;Ágil;"TRICK: El conflicto constructivo sobre ideas es bueno; el conflicto personal es destructivo y debe cortarse rápido."
54;¿Qué técnica de estimación se basa en datos históricos similares?;Estimación análoga;Estimación paramétrica;Estimación por tres valores;Delphi;A;Usa datos de proyectos anteriores como referencia.;Procesos;Tarea 15: Cierre de fase;Híbrido;"ORDEN DE ACCIONES: Al terminar una fase, realiza una ""Puerta de Fase"" para decidir si el proyecto continúa o se cancela."
55;¿Qué componente del plan para la dirección del proyecto define cómo se manejarán los cambios?;Plan de comunicaciones;Plan de calidad;Plan de gestión de cambios;Plan de adquisiciones;C;Establece el procedimiento formal para tratar cambios.;Personas;Tarea 7: Liderazgo;Ágil;SERVANT LEADERSHIP: Si el equipo está estancado, el PM no da la orden, sino que hace preguntas poderosas.
56;¿Qué indica un índice de desempeño de costos (CPI) de 1.1?;El proyecto está excediendo el presupuesto;Se está gastando más de lo previsto;Se está ejecutando de forma eficiente en costos;El alcance se ha reducido;C;Indica que se obtiene más valor por cada unidad de costo.;Procesos;Tarea 5: Alcance;Predictivo;"PMI MINDSET: El ""Gold Plating"" (dar extras no pedidos) es un error de calidad, no un buen servicio al cliente."
57;¿Qué significa tener muchas dependencias de fin a inicio en el cronograma?;Riesgo bajo;Actividades paralelas;Alta rigidez y riesgo de retrasos;Flujo ágil del proyecto;C;Aumenta la posibilidad de cuellos de botella.;Personas;Tarea 8: Mentoría;Híbrido;"MINDSET: El PM identifica los ""puntos fuertes"" de cada miembro para potenciarlos en las tareas críticas."
58;¿Qué entrega el proceso de identificar interesados?;Registro de interesados;Plan de gestión de interesados;Análisis de comunicaciones;Estrategia de influencia;A;Lista e informa sobre cada parte interesada.;Procesos;Tarea 11: Adquisiciones;Predictivo;"TRICK: En contratos por ""Costos Reembolsables"", el riesgo lo asume principalmente el comprador."
59;En proyectos ágiles, ¿quién tiene autoridad sobre el orden del backlog?;Scrum Master;Equipo de desarrollo;Product Owner;Stakeholders;C;Es responsable de priorizar según el valor.;Entorno;Tarea 2: Valor;Ágil;MINDSET: El valor se mide por el software funcionando, no por la cantidad de documentación técnica aprobada.
60;¿Qué propósito tiene una revisión de lecciones aprendidas?;Aprobar el cierre del proyecto;Identificar mejoras para proyectos futuros;Validar entregables;Escalar problemas;B;Permite mejorar la gestión en futuras iniciativas.;Procesos;Tarea 7: Calidad;Predictivo;ORDEN DE ACCIONES: Si hay un defecto, primero se analiza la causa raíz (Ishikawa) antes de proponer el arreglo.
61;¿Qué representa el valor ganado (EV)?;Costos reales del trabajo;Valor del trabajo realmente ejecutado;Presupuesto total;Costos estimados al cierre;B;Refleja cuánto valor se ha generado respecto al plan.;Procesos;Tarea 9: Comprometer interesados;Predictivo;MINDSET: Si un interesado clave no asiste a las reuniones, no lo ignores. Revisa el Plan de Involucramiento y busca una reunión 1 a 1.
62;"¿Cuál es el objetivo del proceso ""Controlar los recursos""?";Contratar personal externo;Medir desempeño técnico;Asegurar que los recursos físicos estén disponibles cuando se necesiten;Reasignar tareas manualmente;C;Enfocado en recursos físicos, no humanos.;Personas;Tarea 13: Mentoring;Ágil;SERVANT LEADERSHIP: El éxito del PM se mide por el crecimiento del equipo. Fomenta que los miembros tomen roles de liderazgo rotativos.
63;¿Qué herramienta ágil muestra tareas en columnas según su estado?;Kanban;Burndown;Retrospectiva;SPI;A;Visualiza el flujo de trabajo y los cuellos de botella.;Procesos;Tarea 11: Adquisiciones;Predictivo;TRICK: Ante un conflicto con un proveedor, la primera referencia siempre es el Contrato. Las cláusulas legales priman sobre acuerdos verbales.
64;¿Qué proceso asegura que el alcance entregado sea el correcto?;Control de calidad;Verificación del cronograma;Validar el alcance;Control de adquisiciones;C;Se usa para la aceptación formal de los entregables.;Entorno;Tarea 1: Cumplimiento;Híbrido;COMPLIANCE: Si el equipo descubre que el producto viola una norma de seguridad, la prioridad absoluta es corregirlo, incluso si retrasa el cronograma.
65;¿Cuál es el propósito del control de calidad?;Entregar productos a tiempo;Aprobar cambios;Asegurar que los entregables cumplen con los requisitos;Validar costos;C;Revisa entregables antes de su validación formal.;Personas;Tarea 1: Gestionar conflictos;Híbrido;ORDEN DE ACCIONES: Si el conflicto es técnico, deja que el equipo debata. Si el conflicto es de actitud, interviene de inmediato y en privado.
66;¿Qué técnica ayuda a anticipar conflictos entre interesados?;Análisis de causa raíz;Matriz de influencia/interés;Línea base del cronograma;Diagrama de Gantt;B;Permite planificar la gestión de expectativas.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;"RIESGO vs ISSUE: El Plan de Respuesta a Riesgos se financia con la Reserva de Contingencia. Si es un ""issue"" no planeado, se usa la Reserva de Gestión."
67;¿Qué rol tiene el Product Owner en una Daily Scrum?;Liderar la reunión;Asistir obligatoriamente;No es obligatorio que asista;Asignar tareas;C;Sólo el equipo de desarrollo y Scrum Master son necesarios.;Personas;Tarea 4: Empoderar al equipo;Ágil;"PMI MINDSET: El equipo estima su propio trabajo (puntos de historia). El PM nunca debe decirles cuánto tiempo ""debería"" tomarles."
68;¿Qué resultado se espera del proceso de planificar la gestión de riesgos?;Registro de riesgos;Plan de respuesta;Plan para la dirección del proyecto;Plan de gestión de riesgos;D;Define cómo se abordarán los riesgos durante el proyecto.;Procesos;Tarea 10: Gestionar cambios;Predictivo;SALTARSE CHANGE CONTROL: Si el patrocinador exige un cambio sin análisis, el PM debe educarlo sobre los riesgos de no seguir el proceso formal.
69;¿Qué se utiliza para justificar la continuidad de un proyecto en fases?;Plan de calidad;Business case;Plan de adquisiciones;Registro de interesados;B;Se revisa para confirmar si los beneficios siguen siendo válidos.;Entorno;Tarea 2: Evaluar beneficios;Ágil;ENTREGA DE VALOR: En proyectos con mucha incertidumbre, entrega primero las funcionalidades con mayor retorno de inversión (ROI).
70;¿Qué herramienta se usa para estimar el esfuerzo basado en experiencia colectiva?;Delphi;Monte Carlo;Análisis de sensibilidad;Árbol de decisiones;A;Recoge estimaciones de expertos de forma anónima.;Personas;Tarea 10: Construir equipo;Híbrido;TRICK: El PM debe asegurar que los miembros del equipo tengan objetivos comunes (Shared Vision) para evitar silos.
71;¿Qué ocurre si el equipo no tiene acceso frecuente al Product Owner?;El proyecto se acelera;Se afecta la toma de decisiones y claridad de requerimientos;Mejora la autonomía del equipo;Se fortalece la documentación;B;La falta de disponibilidad puede afectar la entrega de valor.;Procesos;Tarea 12: Artefactos;Predictivo;"MINDSET: El ""Diccionario de la EDT/WBS"" es vital para evitar malentendidos sobre lo que incluye cada paquete de trabajo."
72;¿Cuál es el objetivo principal de gestionar el conocimiento del proyecto?;Mejorar informes;Crear lecciones aprendidas;Usar conocimiento previo y generar nuevo;Actualizar stakeholders;C;Favorece el aprendizaje continuo y evita la reinvención.;Personas;Tarea 14: Colaboración;Ágil;"PMI MINDSET: El espacio de trabajo (físico o virtual) debe permitir la ""comunicación osmótica"" para que la información fluya sin esfuerzo."
73;¿Qué significa un CPI de 0.9 y un SPI de 1.2?;Atraso y ahorro;Eficiencia en tiempo pero sobrecosto;Proyecto cancelado;Todo está en equilibrio;B;Se está avanzando más rápido de lo previsto pero gastando más.;Procesos;Tarea 4: Presupuesto;Predictivo;ORDEN DE ACCIONES: Si hay un recorte de presupuesto, re-prioriza el alcance. No intentes hacer lo mismo con menos dinero sin avisar del riesgo.
74;¿Qué proceso del PMBOK cierra todos los contratos formalmente?;Controlar adquisiciones;Cerrar adquisiciones;Cerrar el proyecto;Dirigir el trabajo del proyecto;B;Cierra formalmente los compromisos contractuales.;Entorno;Tarea 3: Cambios externos;Híbrido;TRICK: Usa el análisis PESTLE (Político, Económico, Social, Tecnológico, Legal, Ambiental) para identificar riesgos del entorno.
75;¿Qué caracteriza a un entorno predictivo?;Alta flexibilidad y cambios frecuentes;Plan detallado al inicio y cambios mínimos;Iteraciones y entregas continuas;Entorno sin control formal;B;Planificación detallada desde el comienzo.;Personas;Tarea 5: Capacitación;Ágil;MINDSET: Identifica brechas de habilidades temprano. Es más barato entrenar al equipo actual que contratar nuevos expertos a mitad del proyecto.
76;¿Qué valor mide el esfuerzo restante necesario para completar un proyecto?;VAC;EAC;ETC;SPI;C;Indica cuánto costará el trabajo restante.;Procesos;Tarea 7: Calidad;Predictivo;"CALIDAD vs GRADO: Un producto de bajo grado (pocas funciones) es aceptable; un producto de baja calidad (con errores) nunca lo es."
